Table,Field,Type,Key,Nullable,Default,Comment,References
Manufacturers,name,CITEXT,UQ,FALSE,,"Case-insensitive text; vendor or manufacturer name.",
DeviceTypes,id,Integer,PK,FALSE,,"Integer identifier; primary key for device type.",
DeviceTypes,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for device type.",
DeviceTypes,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; device type creation time.",
DeviceTypes,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last device type update.",
DeviceTypes,name,CITEXT,UQ,FALSE,,"Case-insensitive text; taxonomy label such as router or switch.",
DeviceTypes,category,CITEXT,,TRUE,,"Case-insensitive text; optional grouping category.",
ProductModels,id,Integer,PK,FALSE,,"Integer identifier; primary key for product model.",
ProductModels,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for product model.",
ProductModels,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; product model creation time.",
ProductModels,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last product model update.",
ProductModels,manufacturer_id,Integer,FK,TRUE,,"Integer foreign key; associated manufacturer.",Manufacturers.id
ProductModels,name,CITEXT,,FALSE,,"Case-insensitive text; vendor model name.",
ProductModels,model_number,CITEXT,,TRUE,,"Case-insensitive text; catalog or SKU reference.",
Platforms,id,Integer,PK,FALSE,,"Integer identifier; primary key for automation platform.",
Platforms,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for platform.",
Platforms,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; platform creation time.",
Platforms,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last platform update.",
Platforms,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the platform was disabled for use.",
Platforms,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique automation platform slug.",
Platforms,display_name,CITEXT,,TRUE,,"Case-insensitive text; operator friendly display name.",
Platforms,vendor_hint,CITEXT,,TRUE,,"Case-insensitive text; vendor family hint such as cisco or juniper.",
Platforms,napalm_driver,String,,TRUE,,"String; NAPALM driver identifier for automation.",
Platforms,napalm_optional_args,JSONB,,FALSE,{},"JSON object; driver extras passed to Nornir connections.",
Platforms,netmiko_type,String,,TRUE,,"String; Netmiko device type hint.",
Platforms,scrapli_platform,String,,TRUE,,"String; Scrapli platform name for CLI automation.",
Platforms,default_transport,CITEXT,,TRUE,,"Case-insensitive text; preferred transport such as cli or rest.",
Platforms,handler_entrypoint,String,,TRUE,,"String; dotted Python path to custom handler class.",
Platforms,extras,JSONB,,FALSE,{},"JSON object; miscellaneous platform metadata.",
Platforms,ansible_network_os,CITEXT,,TRUE,,"Case-insensitive text; Ansible network_os mapping.",
Platforms,ansible_connection,CITEXT,,TRUE,,"Case-insensitive text; Ansible connection plugin name.",
Platforms,ansible_vars,JSONB,,FALSE,{},"JSON object; default Ansible variables for hosts on this platform.",
Platforms,notes,Text,,TRUE,,"Long text; operator notes about platform behavior.",
CredentialProfiles,id,Integer,PK,FALSE,,"Integer identifier; primary key for credential profile.",
CredentialProfiles,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for credential profile.",
CredentialProfiles,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; credential profile creation time.",
CredentialProfiles,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last credential profile update.",
CredentialProfiles,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the profile was disabled.",
CredentialProfiles,name,CITEXT,UQ,FALSE,,"Case-insensitive text; unique credential profile name.",
CredentialProfiles,description,Text,,TRUE,,"Long text; describes usage of the credential profile.",
CredentialProfiles,auth_type,CITEXT,,FALSE,username_password,"Case-insensitive text; authentication style identifier.",
CredentialProfiles,username,CITEXT,,TRUE,,"Case-insensitive text; optional username hint stored in Orbit.",
CredentialProfiles,secret_ref,String,,TRUE,,"String; external secret backend reference or path.",
CredentialProfiles,secret_metadata,JSONB,,FALSE,{},"JSON object; metadata describing the external secret.",
CredentialProfiles,params,JSONB,,FALSE,{},"JSON object; provider-specific connection parameters.",
InventoryGroups,id,Integer,PK,FALSE,,"Integer identifier; primary key for inventory group.",
InventoryGroups,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external reference for inventory group.",
InventoryGroups,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; inventory group creation time.",
InventoryGroups,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last inventory group update.",
InventoryGroups,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the group was disabled.",
InventoryGroups,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique slug for use in automation inventory.",
InventoryGroups,name,CITEXT,UQ,FALSE,,"Case-insensitive text; operator-facing group name.",
InventoryGroups,description,Text,,TRUE,,"Long text; explains the inventory group purpose.",
InventoryGroups,nornir_data,JSONB,,FALSE,{},"JSON object; default Nornir host vars for group members.",
InventoryGroups,ansible_vars,JSONB,,FALSE,{},"JSON object; default Ansible variables for the group.",
InventoryGroups,is_dynamic,Boolean,,FALSE,False,"Boolean flag; indicates dynamic membership managed by rules.",
InventoryGroups,definition,JSONB,,FALSE,{},"JSON object; criteria for dynamic group evaluation.",
InventoryGroups,evaluation_scope,CITEXT,,TRUE,,"Case-insensitive text; scope indicator for automation filters.",
InventoryGroups,cached_device_count,Integer,,FALSE,0,"Integer; cached count of devices currently matching criteria.",
InventoryGroups,last_evaluated_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when dynamic membership was last computed.",
DeviceInventoryGroups,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; association row creation time.",
DeviceInventoryGroups,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last association update.",
DeviceInventoryGroups,device_id,Integer,PK,FALSE,,"Integer foreign key; linked device in the group.",Devices.id
DeviceInventoryGroups,group_id,Integer,PK,FALSE,,"Integer foreign key; inventory group containing the device.",InventoryGroups.id
Devices,id,Integer,PK,FALSE,,"Integer identifier; primary key for device record.",
Devices,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the device.",
Devices,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; device record creation time.",
Devices,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last device update.",
Devices,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the device was deactivated in inventory.",
Devices,name,CITEXT,,TRUE,,"Case-insensitive text; hostname or logical name reported by admins.",
Devices,fqdn,CITEXT,,TRUE,,"Case-insensitive text; fully qualified domain name for management.",
Devices,device_type_id,Integer,FK,TRUE,,"Integer foreign key; taxonomy type for the device.",DeviceTypes.id
Devices,manufacturer_id,Integer,FK,TRUE,,"Integer foreign key; hardware vendor for the device.",Manufacturers.id
Devices,product_model_id,Integer,FK,TRUE,,"Integer foreign key; normalized product model.",ProductModels.id
Devices,serial_number,CITEXT,,TRUE,,"Case-insensitive text; manufacturer serial number.",
Devices,asset_tag,CITEXT,,TRUE,,"Case-insensitive text; enterprise asset tracking tag.",
Devices,is_virtual,Boolean,,FALSE,False,"Boolean flag; indicates a virtualized instance instead of physical hardware.",
Devices,os_name,CITEXT,,TRUE,,"Case-insensitive text; network operating system family.",
Devices,os_version,String,,TRUE,,"String; running software version for lifecycle tracking.",
Devices,mgmt_ipv4,INET,,TRUE,,"INET; IPv4 management address for remote access.",
Devices,mgmt_port,Integer,,FALSE,22,"Integer; TCP port used for management connections.",
Devices,facts,JSONB,,FALSE,{},"JSON object; vendor discovery data captured from the device.",
Devices,last_seen_at,DateTime,,TRUE,,"Naive timestamp; last telemetry or poll contact time.",
Devices,platform_id,Integer,FK,TRUE,,"Integer foreign key; automation platform profile applied to device.",Platforms.id
Devices,credential_profile_id,Integer,FK,TRUE,,"Integer foreign key; credential lookup profile for automation.",CredentialProfiles.id
Devices,nornir_data,JSONB,,FALSE,{},"JSON object; per-device Nornir connection overrides.",
Devices,ansible_host,CITEXT,,TRUE,,"Case-insensitive text; override hostname for Ansible inventory.",
Devices,ansible_vars,JSONB,,FALSE,{},"JSON object; per-device Ansible variables.",
Devices,notes,Text,,TRUE,,"Long text; operator notes about the device.",
PhysicalDeviceInfos,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; physical info record creation time.",
PhysicalDeviceInfos,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last physical info update.",
PhysicalDeviceInfos,device_id,Integer,PK,FALSE,,"Integer foreign key; primary key referencing the physical device.",Devices.id
PhysicalDeviceInfos,site,CITEXT,,TRUE,,"Case-insensitive text; site name or code housing the device.",
PhysicalDeviceInfos,rack,String,,TRUE,,"String; rack identifier within the site.",
PhysicalDeviceInfos,position_u,Integer,,TRUE,,"Integer; rack unit position for installation tracking.",
VirtualInstanceInfos,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; virtual instance info creation time.",
VirtualInstanceInfos,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last virtual info update.",
VirtualInstanceInfos,device_id,Integer,PK,FALSE,,"Integer foreign key; virtual device owning this metadata.",Devices.id
VirtualInstanceInfos,hypervisor,CITEXT,,TRUE,,"Case-insensitive text; hypervisor platform hosting the VM.",
VirtualInstanceInfos,host_device_id,Integer,FK,TRUE,,"Integer foreign key; physical host device when tracked.",Devices.id
VirtualInstanceInfos,vm_uuid,String,,TRUE,,"String; virtualization platform UUID for correlation.",
Interfaces,id,Integer,PK,FALSE,,"Integer identifier; primary key for interface record.",
Interfaces,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the interface.",
Interfaces,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; interface record creation time.",
Interfaces,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last interface update.",
Interfaces,device_id,Integer,FK,FALSE,,"Integer foreign key; device hosting the interface.",Devices.id
Interfaces,name,String,,FALSE,,"String; logical interface identifier such as Gig0/0.",
Interfaces,description,String,,TRUE,,"String; operator-supplied description or alias.",
Interfaces,mac_address,String,,TRUE,,"String; burned-in or configured MAC address.",
Interfaces,type,CITEXT,,TRUE,,"Case-insensitive text; interface classification like ethernet or loopback.",
Interfaces,speed_mbps,Integer,,TRUE,,"Integer; provisioned bandwidth in megabits per second.",
Interfaces,is_up,Boolean,,FALSE,True,"Boolean flag; reflects latest operational status.",
Interfaces,is_enabled,Boolean,,FALSE,True,"Boolean flag; administrative enable state.",
Interfaces,mtu,Integer,,TRUE,,"Integer; configured maximum transmission unit.",
Interfaces,facts,JSONB,,FALSE,{},"JSON object; telemetry details captured for the interface.",
IPAddresses,id,Integer,PK,FALSE,,"Integer identifier; primary key for IP address record.",
IPAddresses,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the IP address.",
IPAddresses,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; IP record creation time.",
IPAddresses,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last IP record update.",
IPAddresses,device_id,Integer,FK,TRUE,,"Integer foreign key; device directly assigned the IP (if any).",Devices.id
IPAddresses,interface_id,Integer,FK,TRUE,,"Integer foreign key; interface primarily using the IP.",Interfaces.id
IPAddresses,address,INET,UQ,FALSE,,"INET; canonical IPv4 address under management.",
IPAddresses,prefix_length,Integer,,FALSE,32,"Integer; subnet prefix length for the address.",
IPAddresses,is_primary,Boolean,,FALSE,False,"Boolean flag; marks primary IP for the interface or device.",
IPAddresses,role,CITEXT,,TRUE,,"Case-insensitive text; functional role such as management or loopback.",
IPAddresses,vrf,CITEXT,,TRUE,,"Case-insensitive text; virtual routing/forwarding context.",
IPAddresses,notes,Text,,TRUE,,"Long text; operator notes about the address usage.",
IPAddresses,meta,JSONB,,FALSE,{},"JSON object; arbitrary metadata about the address.",
InterfaceIPAddresses,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; association creation time.",
InterfaceIPAddresses,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last association update.",
InterfaceIPAddresses,interface_id,Integer,PK,FALSE,,"Integer foreign key; interface participating in the assignment.",Interfaces.id
InterfaceIPAddresses,ip_address_id,Integer,PK,FALSE,,"Integer foreign key; IP address assigned to the interface.",IPAddresses.id
InterfaceIPAddresses,primary,Boolean,,FALSE,False,"Boolean flag; indicates this is the preferred address on the interface.",
InterfaceIPAddresses,assigned_from,DateTime,,TRUE,,"Naive timestamp; when the assignment became active.",
InterfaceIPAddresses,assigned_to,DateTime,,TRUE,,"Naive timestamp; when the assignment ended.",
DeviceConfigSnapshots,id,BigInteger,PK,FALSE,,"Big integer; primary key for configuration snapshot.",
DeviceConfigSnapshots,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the snapshot.",
DeviceConfigSnapshots,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; snapshot record creation time.",
DeviceConfigSnapshots,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last snapshot update.",
DeviceConfigSnapshots,device_id,Integer,FK,FALSE,,"Integer foreign key; device whose configuration was captured.",Devices.id
DeviceConfigSnapshots,job_id,Integer,FK,TRUE,,"Integer foreign key; job that collected the snapshot.",Jobs.id
DeviceConfigSnapshots,captured_by_id,Integer,FK,TRUE,,"Integer foreign key; user credited with capturing the snapshot.",Users.id
DeviceConfigSnapshots,captured_at,DateTime,,FALSE,utcnow(),"Naive timestamp; when the configuration was captured.",
DeviceConfigSnapshots,source,CITEXT,,TRUE,,"Case-insensitive text; acquisition source such as backup or manual.",
DeviceConfigSnapshots,content_sha256,String(64),,FALSE,,"String; SHA-256 hash of the configuration content for dedupe.",
DeviceConfigSnapshots,size_bytes,Integer,,FALSE,0,"Integer; uncompressed configuration size in bytes.",
DeviceConfigSnapshots,storage_inline,Boolean,,FALSE,True,"Boolean flag; indicates config stored inline rather than external object storage.",
DeviceConfigSnapshots,content_inline_text,Text,,TRUE,,"Long text; UTF-8 configuration payload when stored inline.",
DeviceConfigSnapshots,content_inline_bytes,LargeBinary,,TRUE,,"Binary; compressed configuration payload when not plain text.",
DeviceConfigSnapshots,object_url,String,,TRUE,,"String; external storage location when offloaded.",
DeviceConfigSnapshots,content_mime,String,,FALSE,text/plain,"String; MIME type describing configuration format.",
DeviceConfigSnapshots,content_encoding,String,,TRUE,,"String; encoding such as gzip applied to stored bytes.",
DeviceConfigSnapshots,vendor_hint,CITEXT,,TRUE,,"Case-insensitive text; vendor identifier inferred for parsing.",
DeviceConfigSnapshots,config_role,CITEXT,,TRUE,,"Case-insensitive text; role of the configuration (running, startup, etc.).",
DeviceConfigSnapshots,parsed_facts,JSONB,,FALSE,{},"JSON object; metadata extracted from the configuration.",
DeviceConfigSnapshots,notes,Text,,TRUE,,"Long text; operator notes about the snapshot.",
DeviceConfigDiffs,id,BigInteger,PK,FALSE,,"Big integer; primary key for configuration diff.",
DeviceConfigDiffs,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; diff record creation time.",
DeviceConfigDiffs,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last diff update.",
DeviceConfigDiffs,device_id,Integer,FK,FALSE,,"Integer foreign key; device whose configurations were compared.",Devices.id
DeviceConfigDiffs,from_snapshot_id,Integer,FK,FALSE,,"Integer foreign key; baseline snapshot reference.",DeviceConfigSnapshots.id
DeviceConfigDiffs,to_snapshot_id,Integer,FK,FALSE,,"Integer foreign key; comparison snapshot reference.",DeviceConfigSnapshots.id
DeviceConfigDiffs,diff_text,Text,,FALSE,,"Long text; cached unified diff between snapshots.",
DeviceTags,id,Integer,PK,FALSE,,"Integer identifier; primary key for device tag.",
DeviceTags,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the tag.",
DeviceTags,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; tag creation time.",
DeviceTags,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last tag update.",
DeviceTags,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique label slug for automation.",
DeviceTags,name,String(100),,FALSE,,"String; display name of the tag.",
DeviceTags,description,Text,,TRUE,,"Long text; describes when to apply the tag.",
DeviceTags,color,String(16),,TRUE,,"String; hex or named color for UI highlighting.",
DeviceTags,attributes,JSONB,,FALSE,{},"JSON object; arbitrary metadata associated with the tag.",
DeviceTags,is_protected,Boolean,,FALSE,False,"Boolean flag; prevents deletion of essential tags.",
DeviceTagAssignments,id,Integer,PK,FALSE,,"Integer identifier; primary key for tag assignment entry.",
DeviceTagAssignments,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the tag assignment.",
DeviceTagAssignments,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; assignment creation time.",
DeviceTagAssignments,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last assignment update.",
DeviceTagAssignments,device_id,Integer,FK,FALSE,,"Integer foreign key; device receiving the tag.",Devices.id
DeviceTagAssignments,tag_id,Integer,FK,FALSE,,"Integer foreign key; tag applied to the device.",DeviceTags.id
DeviceTagAssignments,job_id,Integer,FK,TRUE,,"Integer foreign key; job responsible for the assignment.",Jobs.id
DeviceTagAssignments,applied_by_id,Integer,FK,TRUE,,"Integer foreign key; user who applied the tag.",Users.id
DeviceTagAssignments,source,CITEXT,,TRUE,,"Case-insensitive text; origin of the tagging action such as api or sync.",
DeviceTagAssignments,notes,Text,,TRUE,,"Long text; explanation of the tagging change.",
DeviceTagAssignments,attributes,JSONB,,FALSE,{},"JSON object; supplemental metadata about the assignment.",
DeviceHealthSnapshots,id,Integer,PK,FALSE,,"Integer identifier; primary key for device health snapshot.",
DeviceHealthSnapshots,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the health snapshot.",
DeviceHealthSnapshots,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; health record creation time.",
DeviceHealthSnapshots,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last health record update.",
DeviceHealthSnapshots,device_id,Integer,FK,FALSE,,"Integer foreign key; monitored device reference.",Devices.id
DeviceHealthSnapshots,observed_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; when telemetry was observed.",
DeviceHealthSnapshots,status,CITEXT,,FALSE,unknown,"Case-insensitive text; consolidated health status label.",
DeviceHealthSnapshots,summary,Text,,TRUE,,"Long text; narrative summary of health findings.",
DeviceHealthSnapshots,metrics,JSONB,,FALSE,{},"JSON object; numeric telemetry metrics captured.",
DeviceHealthSnapshots,checks,JSONB,,FALSE,{},"JSON object; results of individual health checks.",
DeviceHealthSnapshots,latency_ms,Float,,FALSE,0.0,"Float; measured latency in milliseconds.",
DeviceHealthSnapshots,availability_percent,Float,,FALSE,0.0,"Float; calculated availability percentage.",
DeviceHealthSnapshots,job_id,Integer,FK,TRUE,,"Integer foreign key; job run associated with the snapshot.",Jobs.id
DeviceHealthSnapshots,job_task_id,Integer,FK,TRUE,,"Integer foreign key; specific job task producing the data.",JobTasks.id
DeviceProbeTemplates,id,Integer,PK,FALSE,,"Integer identifier; primary key for probe template.",
DeviceProbeTemplates,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the probe template.",
DeviceProbeTemplates,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; template creation time.",
DeviceProbeTemplates,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last template update.",
DeviceProbeTemplates,disabled_at,DateTime(tz),,TRUE,,"Optional timestamp; when the template was disabled for scheduling.",
DeviceProbeTemplates,slug,CITEXT,UQ,FALSE,,"Case-insensitive text; unique slug for referencing the template.",
DeviceProbeTemplates,name,String(120),,FALSE,,"String; descriptive name for the probe.",
DeviceProbeTemplates,probe_type,CITEXT,,FALSE,,"Case-insensitive text; type of probe such as ping or api.",
DeviceProbeTemplates,description,Text,,TRUE,,"Long text; explains probe intent and usage.",
DeviceProbeTemplates,timeout_seconds,Integer,,FALSE,30,"Integer; maximum time to wait for probe completion.",
DeviceProbeTemplates,config,JSONB,,FALSE,{},"JSON object; configuration payload sent to probe runner.",
DeviceProbeTemplates,expected_outcome,JSONB,,FALSE,{},"JSON object; success criteria or assertions for the probe.",
DeviceProbeExecutions,id,Integer,PK,FALSE,,"Integer identifier; primary key for probe execution.",
DeviceProbeExecutions,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the probe execution.",
DeviceProbeExecutions,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; execution record creation time.",
DeviceProbeExecutions,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last execution update.",
DeviceProbeExecutions,device_id,Integer,FK,FALSE,,"Integer foreign key; device targeted by the probe.",Devices.id
DeviceProbeExecutions,job_id,Integer,FK,TRUE,,"Integer foreign key; job that scheduled the probe.",Jobs.id
DeviceProbeExecutions,job_task_id,Integer,FK,TRUE,,"Integer foreign key; job task executing the probe.",JobTasks.id
DeviceProbeExecutions,template_id,Integer,FK,TRUE,,"Integer foreign key; template describing the probe behavior.",DeviceProbeTemplates.id
DeviceProbeExecutions,probe_type,CITEXT,,FALSE,,"Case-insensitive text; probe classification recorded for history.",
DeviceProbeExecutions,status,CITEXT,,FALSE,pending,"Case-insensitive text; lifecycle state of the execution.",
DeviceProbeExecutions,started_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution began running.",
DeviceProbeExecutions,completed_at,DateTime(tz),,TRUE,,"Timezone-aware timestamp; when execution completed.",
DeviceProbeExecutions,latency_ms,Float,,FALSE,0.0,"Float; duration of the probe in milliseconds.",
DeviceProbeExecutions,is_success,Boolean,,FALSE,False,"Boolean flag; indicates the probe met expected outcome.",
DeviceProbeExecutions,response,JSONB,,FALSE,{},"JSON object; primary response payload captured.",
DeviceProbeExecutions,diagnostics,JSONB,,FALSE,{},"JSON object; supplemental diagnostic data for troubleshooting.",
DeviceProbeExecutions,error,JSONB,,FALSE,{},"JSON object; structured error information when probes fail.",
HardwareLifecycle,id,Integer,PK,FALSE,,"Integer identifier; primary key for hardware lifecycle entry.",
HardwareLifecycle,uuid,UUID,UQ,FALSE,uuid_generate_v4(),"Stable UUID; external identifier for the lifecycle record.",
HardwareLifecycle,created_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; lifecycle entry creation time.",
HardwareLifecycle,updated_at,DateTime(tz),,FALSE,utcnow(),"Timezone-aware timestamp; last lifecycle update.",
HardwareLifecycle,product_model_id,Integer,FK,FALSE,,"Integer foreign key; product model the milestones apply to.",ProductModels.id
HardwareLifecycle,end_of_sale_date,DateTime,,TRUE,,"Naive timestamp; vendor announced end-of-sale milestone.",
HardwareLifecycle,end_of_software_maintenance_date,DateTime,,TRUE,,"Naive timestamp; last date for maintenance software releases.",
